,Title,Acronym,Source,Rank,Note,DBLP,Primary FoR,Comments,Average Rating
6,3-D Digital Imaging and Modelling,3DIM,CORE2018,C,none,,801.0,0,
23,National Conference of the American Association for Artificial Intelligence,AAAI,CORE2023,A*,none,aaai,4602.0,1,5.0
31,Conference on Algorithmic Aspects in Information and Management,AAIM,CORE2023,C,none,aaim,4613.0,0,
21,"International Joint Conference on Autonomous Agents and Multiagent Systems (previously the International Conference on Multiagent Systems, ICMAS, changed in 2000)",AAMAS,CORE2023,A*,none,atal,4602.0,2,5.0
49,"International Conference Abstract State Machines, Alloy, B, TLA, VDM, and Z (Previously International Conference of B and Z Users, ZB, changed in 2008)",ABZ,CORE2023,C,none,zum,4612.0,0,
17,Australian Conference on Artificial Life and Computational Intelligence,ACALCI,CORE2020,Regional,none,acalci,4602.0,0,
45,Asian Conference on Computer Vision,ACCV,CORE2023,B,none,accv,4603.0,0,
27,"ACM International Conference on Advances in Computer Entertainment (merged with DIMEA, Digital Interactive Media in Entertainment and Arts, in 2009)",ACE,CORE2023,C,See note,missing-submissions-process.pdf,4607.0,0,
26,Australasian Computing Education Conference (ACE),ACE,CORE2023,Regional,none,ace,4608.0,1,4.0
34,International Conference on Affective Computing and Intelligent,ACII,CORE2023,C,none,acii,4608.0,4,5.0
46,Asian Conference on Intelligent Information and Database Systems,ACIIDS,CORE2023,B,none,aciids,4605.0,133,4.6
28,Australasian Conference on Information Security and Privacy,ACISP,CORE2023,Regional,none,acisp,4604.0,1,4.0
46,Advanced Concepts for Intelligent Vision Systems,ACIVS,CORE2023,B,none,acivs,4603.0,1,3.0
8,Association for Computational Linguistics,ACL,CORE2023,A*,none,acl,4602.0,0,
1,ACM SIGMIS Computers and People Research,ACM-SIGMIS CPR,CORE2018,B,none,sigcpr,806.0,0,
47,Asian Conference on Machine Learning,ACML,CORE2023,Unranked,none,acml,4611.0,12,4.7
45,ACM Multimedia,ACMMM,CORE2023,A*,none,mm,4603.0,2,
23,ACM Conference on Security and Privacy in Wireless and Mobile Networks,ACM_WiSec,CORE2023,B,none,index.html,4604.0,0,
46,International Conference on Applied Cryptography and Network Security,ACNS,CORE2023,B,none,acns,4604.0,0,
25,Annual Computer Security Applications Conference,ACSAC,CORE2023,A,none,acsac,4604.0,4,4.0
5,"Asilomar Conference on Signals, Systems and Computing",ACSSC,CORE2023,National,none,acssc,4606.0,0,
35,Australasian Database Conference,ADC,CORE2023,Regional,none,adc,4605.0,0,
36,Australasian Document Computing Symposium,ADCS,CORE2023,Regional,none,adcs,4605.0,0,
16,International Conference on AD-HOC Networks and Wireless,ADHOC-NOW,CORE2023,C,none,adhoc-now,4606.0,0,
20,International Conference on Advanced Data Mining and Applications,ADMA,CORE2023,C,none,adma,4605.0,0,
23,International Workshop on Agents and Data Mining Interaction,ADMI,CORE2020,B,none,admi,4602.0,0,
10,Artificial Intelligence Applications and Innovations,AIAI,CORE2023,C,none,ifip12,4601.0,0,
44,ACS/IEEE International Conference on Computer Systems and Applications,AICCSA,CORE2023,C,none,aiccsa,46.0,0,
2,International Conference on Artificial Intelligence in Education,AIED,CORE2023,A,none,aied,4601.0,0,
13,Artificial Intelligence in Medicine in Europe,AIME,CORE2023,B,none,aime,4601.0,0,
5,"International Conference on Artificial Intelligence: Methodology, Systems, Applications",AIMSA,CORE2023,National,none,aimsa,4602.0,0,
22,International Conference on Advanced Information Networking and Applications (was ICOIN),AINA,CORE2023,B,none,aina,4606.0,3,4.3
21,Asia Information Retrieval Symposium,AIRS,CORE2023,C,none,airs,4605.0,0,
42,"International Conference on Analysis of Images, Social Networks and Texts",AIST,CORE2023,National,none,aist,4602.0,0,
1,International Conference on Artificial Intelligence and Statistics,AISTATS,CORE2023,A,none,aistats,4611.0,7,5.0
38,Workshop on Algorithm Engineering and Experiments,ALENEX,CORE2023,A,none,alenex,4613.0,1,
12,Algorithmic Learning Theory,ALT,CORE2023,B,none,alt,4611.0,0,
42,Australasian Language Technology Workshop,ALTA,CORE2023,Regional,none,acl-alta,4602.0,0,
23,Americas Conference on Information Systems,AMCIS,CORE2018,A,none,amcis,806.0,0,
20,American Medical Informatics Annual Fall Symposium,AMIA,CORE2023,National,none,amia,4601.0,2,5.0
21,Conference of the Association for Machine Translation in the Americas,AMTA,CORE2023,National,none,amta,4602.0,0,
44,Workshop on Analytic Algorithmics and Combinatorics,ANALCO,CORE2023,B,none,analco,4613.0,0,
2,"International Conference on Ambient Systems, Networks and Technologies",ANT,CORE2023,Unranked,none,ant,4606.0,1,4.0
31,Asia-Pacific Bioinformatics Conference,APBC,CORE2023,B,none,apbc,4601.0,0,
25,Asia Pacific Conference on Communications,APCC,CORE2023,C,none,apcc,4606.0,0,
1,ASIAN Symposium on Programming Languages and Systems,APLAS,CORE2023,B,none,aplas,4612.0,0,
40,Asia-Pacific Network Operations and Management Symposium,APNOMS,CORE2023,C,none,apnoms,4606.0,0,
27,International Workshop on Approximation Algorithms for Combinatorial Optimization Problems and International Conference on Randomization and Computation,APPROX/RANDOM,CORE2023,A,none,approx,4613.0,0,
13,"International Conference on Availability, Reliability and Security",ARES,CORE2023,B,none,IEEEares,4604.0,0,
6,IEEE Symposium on Computer Arithmetic,ARITH,CORE2023,C,none,arith,4613.0,0,
43,"International Conference on Application-specific Systems, Architectures and Processors",ASAP,CORE2018,A,none,asap,805.0,0,
1,Automated Software Engineering Conference,ASE,CORE2023,A*,none,kbse,4612.0,2,5.0
43,International Conference on the Theory and Application of Cryptology and Information Security,ASIACRYPT,CORE2023,A,none,asiacrypt,4604.0,0,
19,Asia and South Pacific Design Automation Conference,ASPDAC,CORE2023,C,none,aspdac,4606.0,0,
6,Architectural Support for Programming Languages and Operating Systems,ASPLOS,CORE2023,A*,none,asplos,4612.0,0,
22,IEEE Automatic Speech Recognition and Understanding Workshop,ASRU,CORE2023,C,none,asru,4602.0,0,
28,International ACM SIGACCESS Conference on Computers and Accessibility,ASSETS,CORE2023,A,none,assets,4608.0,0,
3,Automation of Software Test,AST,CORE2023,C,none,ast,4612.0,0,
38,Australian Software Engineering Conference,ASWEC,CORE2020,Regional,none,aswec,4612.0,0,
18,International Conference on Advanced and Trusted Computing (was International Conference on Autonomic and Trusted Computing),ATC,CORE2023,C,none,atc,4604.0,0,
39,"Workshop on Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",ATMOS,CORE2023,C,none,atmos,4613.0,0,
26,International Conference on Advanced Technologies For Signal & Image Processing,ATSIP,CORE2023,National,none,atsip,4603.0,0,
23,International Symposium on Automated Technology for Verification and Analysis,ATVA,CORE2023,B,none,atva,4612.0,0,
49,Advanced Visual Interfaces,AVI,CORE2023,B,none,avi,4608.0,1,5.0
32,International Conference on Reliable Software Technologies,Ada-Europe,CORE2023,Unranked,none,adaEurope,4612.0,0,
3,Advances in Modal Logic,AiML,CORE2023,B,none,aiml,4613.0,0,
15,International Symposium on Algorithms and Experiments for Wireless Networks,Algosensors,CORE2023,C,none,algosensors,4606.0,0,
16,European Conference on Ambient Intelligence,AmI,CORE2023,C,none,ami,4606.0,1,4.0
20,"International Conference on Probabilistic, Combinatorial, and Asymptotic Methods in the Analysis of Algorithms (was Conference on Analysis of Algorithms)",AofA,CORE2023,C,none,aofa,4613.0,0,
15,"ArtsIT, Interactivity & Game Creation (was International Conference on Arts and Technology)",ArtsIT,CORE2023,C,none,artsit,4607.0,0,
20,"Asia Conference on Information, Computer and Communications Security",AsiaCCS,CORE2023,A,none,asiaccs,4604.0,0,
32,Australian Joint Conference on Artificial Intelligence,AusAI,CORE2018,Regional,none,ausai,,0,
46,"IEEE/ACM International Conference on Big Data Computing, Applications and Technologies",BDCAT,CORE2023,C,none,bdc,4611.0,0,
23,IEEE Bioinformatics and Bioengineering,BIBE,CORE2023,C,none,bibe,4601.0,0,
7,International Conference in Business Process Management,BPM,CORE2023,A,none,bpm,4612.0,4,4.8
9,Body Sensor Networks,BSN,CORE2023,C,none,bsn,4601.0,0,
44,"Datenbanksysteme fÃ¼r Business, Technologie und Web",BTW,CORE2023,National,none,btw,4605.0,0,
20,IEEE International Conference on Big Data,BigData,CORE2023,B,none,bigdataconf,4605.0,0,
15,"International Conference on Broadband Communications, Networks and Systems",Broadnets,CORE2023,C,none,broadnets,4606.0,0,
10,International Conference on Automated Deduction,CADE,CORE2023,A,none,cade,4602.0,0,
30,Conference on Algebra and Coalgebra in Computer Science,CALCO,CORE2023,B,none,calco,4613.0,0,
30,International Conference on Cryptology and Network Security,CANS,CORE2023,B,none,cans,4604.0,0,
4,Computer Algebra in Scientific Computing,CASC,CORE2023,B,none,casc,4613.0,0,
29,"International Conference on Compilers, Architecture, and Synthesis for Embedded Systems",CASES,CORE2023,B,none,cases,4606.0,0,
10,International Conference on Computers and their Applications,CATA,CORE2023,National,none,cata,4601.0,0,
3,Computer Aided Verification,CAV,CORE2023,A*,none,cav,4612.0,0,
28,International Conference on Compiler Construction,CC,CORE2023,B,none,cc,4606.0,0,
32,IEEE Conference on Computational Complexity,CCC,CORE2023,A,none,coco,4613.0,0,
5,"IEEE International Symposium on Cluster, Cloud and Grid Computing",CCGRID,CORE2023,B,none,ccgrid,4606.0,0,
15,ACM Conference on Computer and Communications Security,CCS,CORE2023,A*,none,ccs,4604.0,0,
49,International Cross-Domain Conference for Machine Learning and Knowledge Extraction,CD-MAKE,CORE2023,C,none,cdmake,4602.0,0,
34,IEEE Conference on Decision and Control,CDC,CORE2018,A,none,cdc,1005.0,0,
29,"Cooperative Design, Visualization, and Engineering",CDVE,CORE2023,C,none,cdve,4608.0,0,
46,IEEE Congress on Evolutionary Computation,CEC,CORE2023,B,none,cec,4602.0,4,4.5
28,International Symposium on Code Generation and Optimization,CGO,CORE2023,A,none,cgo,4612.0,0,
12,Workshop on Cryptographic Hardware and Embedded Systems,CHES,CORE2023,A,none,ches,4604.0,6,5.0
11,International Conference on Human Factors in Computing Systems,CHI,CORE2023,A*,none,chi,4608.0,0,
33,CHI PLAY: The Annual Symposium on Computer-Human Interaction in Play,CHI PLAY,CORE2023,Unranked,none,chiplay,4608.0,0,
9,International Conference on Computer-Human Interaction Research and Applications,CHIRA,CORE2023,C,none,chira,4608.0,0,
41,International Conference on Algorithms and Complexity (was Italian Conference ),CIAC,CORE2023,C,none,ciac,4613.0,0,
17,IberoAmerican Congress on Pattern Recognition,CIARP,CORE2023,C,none,ciarp,4603.0,0,
0,IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology,CIBCB,CORE2023,C,none,cibcb,4601.0,0,
0,Conference on Intelligent Computer Mathematics,CICM,CORE2023,C,none,mkm,4613.0,0,
48,Conference on Innovative Data Systems Research,CIDR,CORE2023,A,none,cidr,4605.0,0,
30,ACM International Conference on Information and Knowledge Management,CIKM,CORE2023,A,none,cikm,4605.0,0,
39,International Conference on Computational Intelligence and Security,CIS,CORE2023,National,none,cis,4604.0,0,
49,Computational Intelligence in Security for Information Systems,CISIS,CORE2023,National,none,cisis-spain,4604.0,0,
31,"International Conference on Complex, Intelligent and Software Intensive Systems",CISIS,CORE2023,C,none,cisis,4606.0,1,
46,Conference on Information Sciences and Systems,CISS,CORE2023,National,none,ciss,4606.0,0,
30,IEEE International Conference on Computer and Information Technology,CIT,CORE2023,C,none,cit,46.0,1,4.0
27,Latin American Conference on Informatics,CLEI,CORE2023,C,none,clei,4602.0,0,
21,International Conference on Cloud Computing and Services Science,CLOSER,CORE2023,C,none,closer,4606.0,0,
22,IEEE International Conference on Cloud Computing,CLOUD,CORE2023,B,none,IEEEcloud,4606.0,1,5.0
25,IEEE International Conference on Cluster Computing,CLUSTER,CORE2023,B,none,cluster,4606.0,0,
2,International Science Conference on Computer Networks,CN,CORE2023,National,none,cn,4606.0,0,
29,International Conference on Network and Service Management (amalgamation of DSOM and related workshops from 2010),CNSM,CORE2023,B,none,cnsm,4606.0,0,
14,International Conference on Computing and Combinatorics,COCOON,CORE2023,National,none,cocoon,4613.0,2,4.5
2,"International Conference on Hardware/Software Codesign and System Synthesis (previously ISSN, changed in 2003)",CODES+ISSS,CORE2023,C,none,codesisss,4606.0,0,
43,Conference on Games (was Computational Intelligence and Games CIG),COG,CORE2023,C,none,cig,4607.0,0,
40,"International Workshop on Coordination, Organizations, Institutions, Norms and Ethics for Governance of Multi-Agent Systems (Ethics added 2020)",COINE,CORE2023,C,none,,4602.0,2,4.0
2,Conference on Learning Theory,COLT,CORE2023,A*,none,colt,4611.0,1,
49,International Conference on Management of Data,COMAD,CORE2023,National,none,comad,4605.0,0,
32,"International Conference on Complexity, Future Information Systems and Risk",COMPLEXIS,CORE2023,C,none,complexis,4613.0,0,
45,International Computer Software and Applications Conference,COMPSAC,CORE2023,B,none,compsac,4601.0,0,
25,International Conference on COMmunication Systems & NETworkS,COMSNETS,CORE2023,National,none,comsnets,4606.0,0,
20,International Conference on Concurrency Theory,CONCUR,CORE2023,A,none,concur,4613.0,0,
29,International and Interdisciplinary Conference on Modelling and Using Context,CONTEXT,CORE2023,C,none,context,4602.0,0,
15,International Conference on Principles and Practice of Constraint Programming,CP,CORE2023,A,none,cp,4602.0,0,
7,International Conference on Integration of Artificial Intelligence and Operations Research Techniques in Constraint Programming for Combinatorial Optimization Problems,CPAIOR,CORE2023,B,none,cpaior,4602.0,0,
43,Combinatorial Pattern Matching,CPM,CORE2023,B,none,cpm,4603.0,1,4.0
41,International Workshop on Critical Information Infrastructures Security,CRITIS,CORE2023,C,none,critis,4604.0,0,
0,Advances in Cryptology,CRYPTO,CORE2023,A*,none,crypto,4604.0,0,
36,International Conference on Risks and Security of Internet and Systems,CRiSIS,CORE2023,C,none,crisis,4604.0,0,
10,Computer Supported Collaborative Learning,CSCL,CORE2023,B,none,cscl,4608.0,1,5.0
16,ACM Conference on Computer Supported Cooperative Work,CSCW,CORE2023,A,none,cscw,4608.0,1,5.0
5,International Conference on Computer Supported Education,CSEDU,CORE2023,B,none,csedu,4608.0,0,
26,IEEE Computer Security Foundations Symposium (was CSFW),CSF,CORE2023,A,none,csfw,4604.0,0,
31,Annual Conference on Computer Science Logic,CSL,CORE2023,B,none,csl,4613.0,1,
44,International Computer Science Symposium in Russia,CSR,CORE2023,National,none,csr,46.0,3,4.0
33,IEEE Conference on Computer Vision and Pattern Recognition,CVPR,CORE2023,A*,none,cvpr,4603.0,1,5.0
23,International Conference on Advanced Information Systems Engineering,CaiSE,CORE2023,A,none,caise,4605.0,2,4.5
48,Computability in Europe: Logic and Theory of Algorithms,CiE,CORE2023,C,none,cie,4613.0,0,
24,IEEE International Conference on Cloud Computing Technology and Science (International Conference on Cloud Computing pre 2010),CloudCom,CORE2023,C,none,cloudcom,4606.0,2,4.5
25,"International Conference on Control, Decision and Information Technologies",CoDIT,CORE2023,C,none,codit,4612.0,1,4.0
29,ACM International Conference on Emerging Networking Experiments and Technologies,CoNEXT,CORE2023,A,none,conext,4606.0,1,5.0
36,Conference on Computational Natural Language Learning,CoNLL,CORE2023,B,none,conll,4602.0,0,
31,IEEE Conference on Cognitive and Computational Aspects of Situation Management,CogSIMA,CORE2023,National,none,cogsima,4606.0,0,
23,"International Conference on Collaborative Computing: Networks, Applications and Worksharing",CollaborateCom,CORE2023,C,none,colcom,4606.0,1,4.0
28,International Conference on Coordination Models and Languages,Coordination,CORE2023,C,none,coordination,4606.0,0,
0,Design Automation Conf,DAC,CORE2018,A,none,dac,,2,5.0
14,IFIP International Conference on Distributed Applications and Interoperable Systems,DAIS,CORE2023,C,none,dais,4606.0,0,
47,International Workshop on Document Analysis Systems,DAS,CORE2023,B,none,das,4605.0,0,
42,"International Conference on Dependable, Autonomic and Secure Computing",DASC,CORE2023,C,none,dasc,4604.0,0,
37,International Conference on Database Systems for Advanced Applications,DASFAA,CORE2023,B,none,dasfaa,4605.0,0,
35,"International Conference on Data Science, Technology and Applications",DATA,CORE2023,C,none,data,4605.0,0,
5,"Design, Automation and Test in Europe Conference",DATE,CORE2023,B,none,date,4612.0,3,5.0
34,International Baltic Conference on Databases and Information Systems,DB&IS,CORE2023,Regional,none,balt,4605.0,0,
43,Database Programming Languages,DBPL,CORE2021,B,none,dbpl,4605.0,1,
22,IFIP WG 11.3 Working Conference on Data and Applications Security (also known as DBSEC),DBSEC,CORE2023,B,none,dbsec,4604.0,0,
1,International Conference on Distributed Computing and Artificial Intelligence,DCAI,CORE2023,National,none,dcai,4602.0,0,
40,Data Compression Conference,DCC,CORE2023,B,none,dcc,4605.0,0,
44,International Workshop on Developments in Computational Models,DCM,CORE2020,C,none,dcm,4613.0,0,
41,IEEE International Conference on Distributed Computing in Sensor Systems,DCOSS,CORE2023,B,none,dcoss,4606.0,0,
41,International Conference on Dependability of Computer Systems,DEPCoS,CORE2023,National,none,depcos,4606.0,7,4.9
43,International Conference on Design Science Research in Information Systems and Technology,DESRIST,CORE2018,A,none,desrist,806.0,0,
49,International Conference on Discrete Geometry for Computer Imagery,DGCI,CORE2023,C,none,dgci,4607.0,1,4.0
13,Digital Games Research Conference,DIGRA,CORE2023,C,none,digra,4607.0,0,
17,"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,CORE2023,C,none,dimva,4604.0,2,4.0
6,Designing Interactive Systems,DIS,CORE2023,A,none,ACMdis,4608.0,0,
41,International Symposium on Distributed Computing (was WDAG),DISC,CORE2023,A,none,wdag,4606.0,0,
29,Dynamic Languages Symposium,DLS,CORE2023,C,none,dls,4612.0,0,
22,DNA Computing and Molecular Programming,DNA,CORE2023,B,none,dna,4601.0,0,
46,Deductive and Object-Oriented Databases,DOOD,CORE2018,A,none,dood,806.0,0,
17,Discovery Science,DS,CORE2023,B,none,dis,4611.0,0,
42,International Symposium on Distributed Simulation and Real Time Applications,DS-RT,CORE2023,C,none,dsrt,4606.0,0,
38,IEEE International Conference on Data Science and Advanced Analytics,DSAA,CORE2023,B,none,dsaa,4605.0,0,
2,IEEE/IFIP International Conference on Dependable Systems and Networks,DSN,CORE2023,A,none,dsn,4606.0,1,5.0
42,International Workshop on Data Management on New Hardware,DaMoN,CORE2023,C,none,damon,4605.0,0,
42,Data Warehousing and Knowledge Discovery,DaWaK,CORE2023,B,none,dawak,4605.0,0,
9,Developments in eSystems Engineering,DeSE,CORE2023,C,none,dese,46.0,0,
17,ACM Symposium on Document Engineering,DocEng,CORE2023,B,none,doceng,4605.0,0,
12,European Association for Computational Linguistics,EACL,CORE2023,A,none,eacl,4602.0,1,5.0
25,Conference of the European Association for Machine Translation,EAMT,CORE2023,C,none,eamt,4602.0,0,
16,International Conference on Engineering Applications of Neural Networks,EANN,CORE2023,C,none,eann,4611.0,0,
27,International Conference on Evaluation and Assessment in Software Engineering,EASE,CORE2023,A,none,ease,4612.0,30,5.0
2,EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,CORE2023,C,none,eatis,4606.0,0,
18,ACM Conference on Economics and Computation,EC,CORE2023,A*,none,sigecom,4602.0,2,5.0
44,European Conference on Technology Enhanced Learning,EC-TEL,CORE2023,B,none,ectel,4601.0,7,4.7
17,European Conference on Artificial Intelligence,ECAI,CORE2023,A,none,ecai,4602.0,0,
24,European Conference on Computer Vision,ECCV,CORE2023,A*,none,eccv,4603.0,4,5.0
29,European Conference on Information Retrieval,ECIR,CORE2023,A,none,ecir,4605.0,1,3.0
30,European Conference on Information Systems,ECIS,CORE2018,A,none,ecis,806.0,0,
34,European Conference on Modelling Foundations and Applications,ECMFA,CORE2023,Unranked,none,ecmdafa,4612.0,0,
33,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,CORE2023,A,none,pkdd,4611.0,1,5.0
37,European Conference on Object-Oriented Programming,ECOOP,CORE2023,A,none,ecoop,4612.0,0,
41,European Conference on Software Architecture,ECSA,CORE2023,A,none,ecsa,4612.0,0,
23,European Conference on Computer Supported Cooperative Work,ECSCW,CORE2023,B,none,ecscw,4608.0,0,
43,European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,CORE2023,C,none,ecsqaru,4602.0,0,
28,Extending Database Technology,EDBT,CORE2023,A,none,edbt,4605.0,0,
47,European Dependable Computing Conference,EDCC,CORE2023,Unranked,none,edcc,4604.0,0,
36,Educational Data Mining,EDM,CORE2023,B,none,edm,4601.0,2,4.5
40,IEEE International Enterprise Distributed Object Computing Conference,EDOC,CORE2023,B,none,edoc,4606.0,0,
44,Engineering Interactive Computing Systems,EICS,CORE2023,Unranked,none,eics,4608.0,3,5.0
22,European-Japanese Conference on Information Modelling and Knowledge Bases,EJC,CORE2023,C,none,ejc,4605.0,0,
31,International Conference on Knowledge Engineering and Knowledge Management,EKAW,CORE2023,B,none,ekaw,4605.0,3,4.3
37,"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,CORE2023,B,none,emas,4602.0,0,
39,Empirical Methods in Natural Language Processing,EMNLP,CORE2023,A*,none,emnlp,4602.0,2,5.0
20,ACM Conference on Embedded Software,EMSOFT,CORE2023,Unranked,none,emsoft,4606.0,0,
28,International Conference on Evaluation of Novel Approaches to Software Engineering,ENASE,CORE2023,B,none,enase,4612.0,0,
30,International Conference on Information and Communication Technologies in Tourism,ENTER,CORE2023,C,none,enter,4601.0,0,
33,Portuguese Conference on Artificial Intelligence,EPIA,CORE2023,National,none,epia,4602.0,0,
18,International Conference on Conceptual Modelling,ER,CORE2023,A,none,er,4605.0,0,
10,European Symposium on Algorithms,ESA,CORE2023,A,none,esa,4613.0,1,5.0
11,European Symposium on Artificial Neural Networks,ESANN,CORE2023,B,none,esann,4611.0,0,
8,"European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering (duplicate was listed as ESEC, removed from DB)",ESEC/FSE,CORE2023,A*,none,esec,4612.0,6,5.0
44,International Symposium on Empirical Software Engineering and Measurement,ESEM,CORE2023,A,none,esem,4612.0,1,5.0
13,European Symposium on Programming,ESOP,CORE2023,A,none,esop,4612.0,1,4.0
14,European Symposium On Research In Computer Security,ESORICS,CORE2023,A,none,esorics,4604.0,0,
30,Eye Tracking Research and Applications,ETRA,CORE2023,B,none,etra,4608.0,0,
3,IEEE/IFIP International Conference on Embedded and Ubiquitous Computing,EUC,CORE2023,C,none,euc,4606.0,0,
35,European Conference on Multi-Agent Systems,EUMAS,CORE2023,C,none,eumas,4602.0,1,3.0
27,European Conference on Genetic Programming,EUROGP,CORE2023,B,none,eurogp,4602.0,0,
26,Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,CORE2023,C,none,eusflat,4602.0,0,
6,European Signal Processing Conference,EUSIPCO,CORE2018,B,none,eusipco,1006.0,0,
15,International Conference on Emerging Ubiquitous Systems and Pervasive Networks,EUSPN,CORE2023,Unranked,none,euspn,4606.0,0,
14,International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks),EWSN,CORE2023,B,none,ewsn,4606.0,7,4.7
3,Euro Virtual Reality,Euro VR,CORE2023,C,none,eurovr,4607.0,0,
42,International Conference on the Theory and Application of Cryptographic Techniques,EuroCrypt,CORE2023,A*,none,eurocrypt,4604.0,0,
3,European MPI Users' Group Conference,EuroMPI,CORE2023,C,none,pvm,4606.0,0,
39,European Conference on Pattern Languages of Programs,EuroPLop,CORE2023,National,none,europlop,4612.0,5,5.0
3,International European Conference on Parallel and Distributed Computing (was International Conference on Parallel Processing),EuroPar,CORE2023,B,none,europar,4606.0,1,5.0
2,IEEE European Symposium on Security and Privacy,EuroS&P,CORE2023,Unranked,none,eurosp,4604.0,1,5.0
9,European SPI,EuroSPI,CORE2023,B,none,eurospi,4612.0,32,5.0
24,Eurosys Conference,EuroSys,CORE2023,A,none,eurosys,4606.0,1,5.0
6,Eurographics/IEEE Symposium on Visualization,EuroVis,CORE2023,B,none,vissym,4607.0,1,5.0
44,International Conference on Applications of Evolutionary Computation,EvoApplications,CORE2023,B,none,evoappl2019.html,4602.0,0,
26,European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,CORE2023,B,none,evocop2019.html,4602.0,0,
6,Fundamental Approaches to Software Engineering,FASE,CORE2023,B,none,fase,4612.0,0,
41,Conference on File and Storage Technologies,FAST,CORE2023,A,none,fast,4605.0,0,
10,International Frontiers of Algorithmics Workshop,FAW,CORE2023,National,none,faw,4613.0,0,
33,Financial Cryptography and Data Security Conference,FC,CORE2023,A,none,fc,4604.0,1,5.0
8,IEEE Symposium on Field Programmable Custom Computing Machines,FCCM,CORE2023,B,none,fccm,4606.0,0,
2,International Symposium on Fundamentals of Computation Theory,FCT,CORE2023,B,none,fct,4613.0,1,4.0
37,International Conference on the Foundations of Digital Games,FDG,CORE2023,C,none,fdg,4607.0,0,
45,Forum on Specification and Design Languages,FDL,CORE2023,C,none,fdl,4612.0,0,
23,Workshop on Fault Diagnosis and Tolerance in Cryptography,FDTC,CORE2023,C,none,fdtc,4604.0,0,
18,IEEE International Conference on Automatic Face and Gesture Recognition,FG,CORE2023,B,none,fgr,4603.0,0,
4,Frontiers in Education,FIE,CORE2023,C,none,fie,4608.0,1,
41,International Conference on Frontiers of Information Technology,FIT,CORE2023,National,none,fit,46.0,0,
1,International Symposium on Functional and Logic Programming,FLOPS,CORE2023,National,none,flops,4613.0,0,
48,International Symposium on Formal Methods (was Formal Methods Europe FME),FM,CORE2023,A,none,fm,4612.0,1,4.0
40,Formal Methods in Computer-Aided Design,FMCAD,CORE2023,B,none,fmcad,4612.0,2,4.5
8,Int. Workshop on Formal Methods for Industrial Critical Systems,FMICS,CORE2023,C,none,fmics,4612.0,0,
20,The International Conference on Future Networks and Communications,FNC,CORE2023,Unranked,none,fnc,4606.0,0,
9,IEEE Symposium on Foundations of Computer Science,FOCS,CORE2023,A*,none,focs,4613.0,0,
47,Foundations of Genetic Algorithms,FOGA,CORE2023,A,none,foga,4602.0,1,5.0
37,International Conference on Formal Ontology in Information Systems,FOIS,CORE2023,B,none,fois,4602.0,0,
48,Foundations of Software Science and Computational Structures,FOSSACS,CORE2023,A,none,fossacs,4613.0,0,
37,Flexible Query-Answering Systems,FQAS,CORE2023,C,none,fqas,4605.0,0,
29,IEEE Conference of the Open Innovations Association FRUCT,FRUCT,CORE2023,Regional,none,fruct,4606.0,0,
